"components"	"count"	"rule"	"step"
"(III, \"minor\")"	28.333333333333332	"CFRule(rule434)"	0
"(III, \"minor\")"	12.0	"CFRule(diatonic_prep)"	0
"(III, \"minor\")"	12.0	"CFRule(prolongation)"	0
"(III, \"minor\")"	12.0	"CFRule(modulation)"	0
"(III, \"minor\")"	7.0	"CFRule(dominant_prep)"	0
"(III, \"minor\")"	4.333333333333333	"CFRule(rule435)"	0
"(III, \"minor\")"	2.333333333333333	"CFRule(rule433)"	0
"(IV, \"major\")"	14.0	"CFRule(modulation)"	0
"(IV, \"major\")"	12.0	"CFRule(dominant_prep)"	0
"(IV, \"major\")"	9.333333333333332	"CFRule(rule419)"	0
"(IV, \"major\")"	8.0	"CFRule(prolongation)"	0
"(IV, \"major\")"	3.333333333333333	"CFRule(rule420)"	0
"(IV, \"major\")"	2.333333333333333	"CFRule(rule418)"	0
"(IV, \"minor\")"	23.5	"CFRule(rule437)"	0
"(IV, \"minor\")"	11.0	"CFRule(modulation)"	0
"(IV, \"minor\")"	10.0	"CFRule(dominant_prep)"	0
"(IV, \"minor\")"	4.0	"CFRule(prolongation)"	0
"(IV, \"minor\")"	0.5	"CFRule(rule436)"	0
"(V, \"major\")"	48.2	"CFRule(rule422)"	0
"(V, \"major\")"	34.0	"CFRule(diatonic_prep)"	0
"(V, \"major\")"	24.0	"CFRule(octa_dom_subs9)"	0
"(V, \"major\")"	18.0	"CFRule(dominant_prep)"	0
"(V, \"major\")"	18.0	"CFRule(prolongation)"	0
"(V, \"major\")"	13.0	"CFRule(octa_dom_subs3)"	0
"(V, \"major\")"	9.0	"CFRule(octa_dom_subs6)"	0
"(V, \"major\")"	7.0	"CFRule(diatonic_subs)"	0
"(V, \"major\")"	6.2	"CFRule(rule424)"	0
"(V, \"major\")"	6.0	"CFRule(modulation)"	0
"(V, \"major\")"	0.2	"CFRule(rule451)"	0
"(V, \"major\")"	0.2	"CFRule(rule423)"	0
"(V, \"major\")"	0.2	"CFRule(rule421)"	0
"(V, \"minor\")"	31.166666666666668	"CFRule(rule441)"	0
"(V, \"minor\")"	18.0	"CFRule(diatonic_subs)"	0
"(V, \"minor\")"	16.0	"CFRule(diatonic_prep)"	0
"(V, \"minor\")"	15.0	"CFRule(octa_dom_subs9)"	0
"(V, \"minor\")"	13.0	"CFRule(dominant_prep)"	0
"(V, \"minor\")"	11.0	"CFRule(octa_dom_subs3)"	0
"(V, \"minor\")"	8.0	"CFRule(modulation)"	0
"(V, \"minor\")"	7.166666666666667	"CFRule(rule439)"	0
"(V, \"minor\")"	7.0	"CFRule(prolongation)"	0
"(V, \"minor\")"	6.0	"CFRule(octa_dom_subs6)"	0
"(V, \"minor\")"	2.166666666666667	"CFRule(rule440)"	0
"(V, \"minor\")"	0.16666666666666666	"CFRule(rule442)"	0
"(V, \"minor\")"	0.16666666666666666	"CFRule(rule438)"	0
"(V, \"minor\")"	0.16666666666666666	"CFRule(rule443)"	0
"(VI, \"major\")"	20.0	"CFRule(modulation)"	0
"(VI, \"major\")"	15.0	"CFRule(dominant_prep)"	0
"(VI, \"major\")"	12.0	"CFRule(prolongation)"	0
"(VI, \"major\")"	10.5	"CFRule(rule426)"	0
"(VI, \"major\")"	8.5	"CFRule(rule425)"	0
"(VI, \"major\")"	7.0	"CFRule(diatonic_prep)"	0
"(VI, \"minor\")"	1.0	"CFRule(diatonic_prep)"	0
"(VI, \"minor\")"	1.0	"CFRule(prolongation)"	0
"(VI, \"minor\")"	1.0	"CFRule(dominant_prep)"	0
"(VI, \"minor\")"	1.0	"CFRule(modulation)"	0
"(VI, \"minor\")"	0.3333333333333333	"CFRule(rule445)"	0
"(VI, \"minor\")"	0.3333333333333333	"CFRule(rule444)"	0
"(VI, \"minor\")"	0.3333333333333333	"CFRule(rule446)"	0
"(VII, \"major\")"	5.5	"CFRule(rule427)"	0
"(VII, \"major\")"	1.5	"CFRule(rule428)"	0
"(VII, \"major\")"	1.0	"CFRule(diatonic_prep)"	0
"(VII, \"major\")"	1.0	"CFRule(prolongation)"	0
"(VII, \"major\")"	1.0	"CFRule(dominant_prep)"	0
"(VII, \"major\")"	1.0	"CFRule(modulation)"	0
"(VII, \"minor\")"	28.25	"CFRule(rule448)"	0
"(VII, \"minor\")"	22.0	"CFRule(prolongation)"	0
"(VII, \"minor\")"	17.25	"CFRule(rule450)"	0
"(VII, \"minor\")"	15.0	"CFRule(diatonic_prep)"	0
"(VII, \"minor\")"	8.0	"CFRule(dominant_prep)"	0
"(VII, \"minor\")"	5.0	"CFRule(modulation)"	0
"(VII, \"minor\")"	0.25	"CFRule(rule447)"	0
"(VII, \"minor\")"	0.25	"CFRule(rule449)"	0
"(I, \"major\")"	6.063603678595033	"CFRule(rule411)"	1
"(I, \"major\")"	6.032534026781855	"CFRule(plagal_prep)"	1
"(I, \"major\")"	3.333333333333333	"CFRule(rule413)"	1
"(I, \"major\")"	2.1517763653125885	"CFRule(mode_change)"	1
"(I, \"major\")"	2.1420433162107164	"CFRule(diatonic_subs)"	1
"(I, \"major\")"	1.1754598914051115	"CFRule(rule412)"	1
"(I, \"major\")"	0.9061285297042508	"CFRule(diatonic_prep)"	1
"(I, \"major\")"	0.14720024167115892	"CFRule(prolongation)"	1
"(I, \"minor\")"	5.270594734812797	"CFRule(plagal_prep)"	1
"(I, \"minor\")"	3.5046203840545838	"CFRule(rule430)"	1
"(I, \"minor\")"	3.4249701603511316	"CFRule(diatonic_subs)"	1
"(I, \"minor\")"	2.6026216697489857	"CFRule(rule429)"	1
"(I, \"minor\")"	2.441058170843018	"CFRule(diatonic_prep)"	1
"(I, \"minor\")"	1.3333333333333333	"CFRule(rule431)"	1
"(I, \"minor\")"	0.5583819575227632	"CFRule(prolongation)"	1
"(I, \"minor\")"	0.43032955842247744	"CFRule(mode_change)"	1
"(II, \"major\")"	5.589770012490263	"CFRule(rule415)"	1
"(II, \"major\")"	0.6777966303152793	"CFRule(dominant_prep)"	1
"(II, \"major\")"	0.3479216786793564	"CFRule(modulation)"	1
"(II, \"major\")"	0.27492757286737846	"CFRule(rule414)"	1
"(II, \"major\")"	0.15511396689065401	"CFRule(diatonic_subs)"	1
"(II, \"major\")"	0.07325715671883931	"CFRule(prolongation)"	1
"(II, \"major\")"	0.04434059254613633	"CFRule(diatonic_prep)"	1
"(II, \"minor\")"	4.944297304337984	"CFRule(rule432)"	1
"(II, \"minor\")"	2.1395876411296038	"CFRule(dominant_prep)"	1
"(II, \"minor\")"	0.4614134872887443	"CFRule(modulation)"	1
"(II, \"minor\")"	0.33853996449274637	"CFRule(diatonic_subs)"	1
"(II, \"minor\")"	0.2446825842015618	"CFRule(prolongation)"	1
"(II, \"minor\")"	0.06188370831039699	"CFRule(diatonic_prep)"	1
"(III, \"major\")"	2.490104053659943	"CFRule(rule417)"	1
"(III, \"major\")"	2.4356476253465478	"CFRule(dominant_prep)"	1
"(III, \"major\")"	0.5766494822981643	"CFRule(diatonic_prep)"	1
"(III, \"major\")"	0.5071850833961667	"CFRule(prolongation)"	1
"(III, \"major\")"	0.5	"CFRule(rule416)"	1
"(III, \"major\")"	0.07372875214232405	"CFRule(modulation)"	1
"(III, \"minor\")"	11.354193202616871	"CFRule(rule434)"	1
"(III, \"minor\")"	4.333333333333333	"CFRule(rule435)"	1
"(III, \"minor\")"	3.971360441909634	"CFRule(rule433)"	1
"(III, \"minor\")"	1.4012163867908531	"CFRule(modulation)"	1
"(III, \"minor\")"	0.9809603226517909	"CFRule(prolongation)"	1
