"scale_deg"	"mode"	"count"	"rule"	"step"
"III"	"minor"	42.589644008667506	"CFRule(prolongation)"	1
"III"	"minor"	32.24856116638038	"CFRule(dominant_prep)"	1
"III"	"minor"	30.653225610161474	"CFRule(modulation)"	1
"IV"	"major"	50.33333333333333	"CFRule(rule49)"	1
"IV"	"major"	46.05092090254699	"CFRule(rule50)"	1
"IV"	"major"	32.6512244998253	"CFRule(prolongation)"	1
"IV"	"major"	31.156880393044432	"CFRule(dominant_prep)"	1
"IV"	"major"	29.54696252034552	"CFRule(rule51)"	1
"IV"	"major"	20.39932807400289	"CFRule(modulation)"	1
"IV"	"minor"	141.38475523364514	"CFRule(rule68)"	1
"IV"	"minor"	93.1088463151403	"CFRule(modulation)"	1
"IV"	"minor"	63.611698139377616	"CFRule(prolongation)"	1
"IV"	"minor"	53.9723497883281	"CFRule(dominant_prep)"	1
"IV"	"minor"	44.12116765968321	"CFRule(rule67)"	1
"V"	"major"	82.77024112891702	"CFRule(diatonic_prep)"	1
"V"	"major"	63.709976381045706	"CFRule(rule82)"	1
"V"	"major"	60.186887366600715	"CFRule(rule53)"	1
"V"	"major"	45.10782626105994	"CFRule(octa_dom_subs9)"	1
"V"	"major"	41.52629445338894	"CFRule(diatonic_subs)"	1
"V"	"major"	40.14871077754998	"CFRule(octa_dom_subs3)"	1
"V"	"major"	36.170927736685904	"CFRule(dominant_prep)"	1
"V"	"major"	29.62198846604507	"CFRule(prolongation)"	1
"V"	"major"	25.279376460208272	"CFRule(rule55)"	1
"V"	"major"	18.913420035866803	"CFRule(modulation)"	1
"V"	"major"	18.237279547021693	"CFRule(octa_dom_subs6)"	1
"V"	"major"	11.2	"CFRule(rule52)"	1
"V"	"major"	0.2	"CFRule(rule54)"	1
"V"	"minor"	289.64974608010033	"CFRule(rule72)"	1
"V"	"minor"	86.92908385610244	"CFRule(diatonic_prep)"	1
"V"	"minor"	54.672914014747306	"CFRule(dominant_prep)"	1
"V"	"minor"	40.746854624486986	"CFRule(prolongation)"	1
"V"	"minor"	33.75125592616436	"CFRule(diatonic_subs)"	1
"V"	"minor"	25.166666666666668	"CFRule(rule74)"	1
"V"	"minor"	17.318693314224888	"CFRule(octa_dom_subs6)"	1
"V"	"minor"	14.54286888633197	"CFRule(octa_dom_subs3)"	1
"V"	"minor"	14.408890486414322	"CFRule(octa_dom_subs9)"	1
"V"	"minor"	13.008031660261473	"CFRule(rule70)"	1
"V"	"minor"	8.166666666666668	"CFRule(rule71)"	1
"V"	"minor"	7.879312942239622	"CFRule(modulation)"	1
"V"	"minor"	2.1830425068065447	"CFRule(rule69)"	1
"V"	"minor"	0.16666666666666666	"CFRule(rule73)"	1
"VI"	"major"	201.7773410862266	"CFRule(rule56)"	1
"VI"	"major"	148.13040034153462	"CFRule(prolongation)"	1
"VI"	"major"	43.67064454195595	"CFRule(rule57)"	1
"VI"	"major"	39.51611143606912	"CFRule(dominant_prep)"	1
"VI"	"major"	29.650128012390244	"CFRule(modulation)"	1
"VI"	"major"	10.99487203139254	"CFRule(diatonic_prep)"	1
"VI"	"minor"	3.3626688115174552	"CFRule(prolongation)"	1
"VI"	"minor"	3.0	"CFRule(diatonic_prep)"	1
"VI"	"minor"	2.736687393009965	"CFRule(modulation)"	1
"VI"	"minor"	1.841262404850249	"CFRule(dominant_prep)"	1
"VI"	"minor"	1.3333333333333333	"CFRule(rule77)"	1
"VI"	"minor"	1.2890168411236194	"CFRule(rule76)"	1
"VI"	"minor"	0.3333333333333333	"CFRule(rule75)"	1
"VII"	"major"	67.09800324278824	"CFRule(rule58)"	1
"VII"	"major"	30.0	"CFRule(prolongation)"	1
"VII"	"major"	23.07026363831337	"CFRule(rule59)"	1
"VII"	"major"	16.118981172486276	"CFRule(modulation)"	1
"VII"	"major"	9.860254573763404	"CFRule(dominant_prep)"	1
"VII"	"major"	8.554996361398917	"CFRule(diatonic_prep)"	1
"VII"	"minor"	204.41829490275788	"CFRule(diatonic_prep)"	1
"VII"	"minor"	145.2967812567653	"CFRule(rule79)"	1
"VII"	"minor"	51.54179976251229	"CFRule(rule81)"	1
"VII"	"minor"	33.64198332119776	"CFRule(modulation)"	1
"VII"	"minor"	26.600821098841024	"CFRule(prolongation)"	1
"VII"	"minor"	21.075558355745464	"CFRule(dominant_prep)"	1
"VII"	"minor"	11.25	"CFRule(rule78)"	1
"VII"	"minor"	3.25	"CFRule(rule80)"	1
"I"	"major"	84.10443329967583	"CFRule(rule42)"	2
"I"	"major"	80.43761674710038	"CFRule(mode_change)"	2
"I"	"major"	64.12108122480666	"CFRule(rule43)"	2
"I"	"major"	39.93606591559286	"CFRule(diatonic_subs)"	2
"I"	"major"	36.58175800199169	"CFRule(rule44)"	2
"I"	"major"	34.293904372808875	"CFRule(diatonic_prep)"	2
"I"	"major"	27.26463172330019	"CFRule(plagal_prep)"	2
"I"	"major"	21.688575601974662	"CFRule(prolongation)"	2
"I"	"minor"	134.3925153043147	"CFRule(diatonic_subs)"	2
"I"	"minor"	90.32259302964043	"CFRule(rule61)"	2
"I"	"minor"	72.89737115426317	"CFRule(diatonic_prep)"	2
"I"	"minor"	61.94904098631795	"CFRule(rule62)"	2
"I"	"minor"	49.40063953699733	"CFRule(plagal_prep)"	2
"I"	"minor"	46.276303322567614	"CFRule(prolongation)"	2
"I"	"minor"	41.34569895852594	"CFRule(mode_change)"	2
"I"	"minor"	25.568999806421267	"CFRule(rule60)"	2
"II"	"major"	59.08980626517004	"CFRule(rule46)"	2
"II"	"major"	35.79294054345862	"CFRule(dominant_prep)"	2
"II"	"major"	33.5605186236174	"CFRule(diatonic_subs)"	2
"II"	"major"	31.863918068234728	"CFRule(prolongation)"	2
"II"	"major"	11.851967059042659	"CFRule(modulation)"	2
"II"	"major"	3.453322459466214	"CFRule(rule45)"	2
"II"	"major"	2.733263896677432	"CFRule(diatonic_prep)"	2
"II"	"minor"	133.44110483964448	"CFRule(rule63)"	2
"II"	"minor"	27.291665078509453	"CFRule(modulation)"	2
"II"	"minor"	2.477261333054126	"CFRule(diatonic_subs)"	2
"II"	"minor"	1.4894851017629724	"CFRule(prolongation)"	2
"II"	"minor"	0.9107484031418979	"CFRule(dominant_prep)"	2
"II"	"minor"	0.8076712507060295	"CFRule(diatonic_prep)"	2
"III"	"major"	18.0	"CFRule(prolongation)"	2
"III"	"major"	11.307158016665367	"CFRule(rule48)"	2
"III"	"major"	4.0	"CFRule(diatonic_prep)"	2
"III"	"major"	2.9147016326739514	"CFRule(dominant_prep)"	2
"III"	"major"	1.2741591022241148	"CFRule(rule47)"	2
"III"	"major"	1.1081051786950462	"CFRule(modulation)"	2
"III"	"minor"	216.34650033474708	"CFRule(rule66)"	2
"III"	"minor"	127.36602862304571	"CFRule(rule64)"	2
"III"	"minor"	122.3576401888213	"CFRule(rule65)"	2
"III"	"minor"	96.6879918024683	"CFRule(prolongation)"	2
"III"	"minor"	74.24104266578547	"CFRule(diatonic_prep)"	2
"III"	"minor"	47.563827538641064	"CFRule(dominant_prep)"	2
"III"	"minor"	40.0848482922379	"CFRule(modulation)"	2
"IV"	"major"	93.84506533207218	"CFRule(rule50)"	2
"IV"	"major"	52.1625352018889	"CFRule(rule49)"	2
"IV"	"major"	47.97966588163731	"CFRule(dominant_prep)"	2
"IV"	"major"	27.2901118219421	"CFRule(prolongation)"	2
"IV"	"major"	26.307134919233345	"CFRule(rule51)"	2
"IV"	"major"	15.053674713894644	"CFRule(modulation)"	2
"IV"	"minor"	155.8707242571051	"CFRule(rule68)"	2
"IV"	"minor"	49.9953258983601	"CFRule(dominant_prep)"	2
"IV"	"minor"	44.12116765968321	"CFRule(rule67)"	2
"IV"	"minor"	41.16459343274164	"CFRule(prolongation)"	2
"IV"	"minor"	34.07641567089511	"CFRule(modulation)"	2
"V"	"major"	134.87771915524831	"CFRule(rule82)"	2
"V"	"major"	92.01124530755582	"CFRule(diatonic_subs)"	2
"V"	"major"	87.31662172533949	"CFRule(prolongation)"	2
"V"	"major"	69.5101793252277	"CFRule(rule53)"	2
"V"	"major"	66.12646936531337	"CFRule(octa_dom_subs3)"	2
"V"	"major"	65.63465136604117	"CFRule(diatonic_prep)"	2
"V"	"major"	25.279376460208272	"CFRule(rule55)"	2
"V"	"major"	22.532289794495775	"CFRule(dominant_prep)"	2
"V"	"major"	15.25707737603254	"CFRule(octa_dom_subs9)"	2
"V"	"major"	12.851062853054323	"CFRule(modulation)"	2
"V"	"major"	8.537121556090598	"CFRule(octa_dom_subs6)"	2
"V"	"major"	7.21558336141358	"CFRule(rule52)"	2
"V"	"major"	0.2	"CFRule(rule54)"	2
"V"	"minor"	276.35294485540277	"CFRule(rule72)"	2
"V"	"minor"	119.48740727875165	"CFRule(dominant_prep)"	2
"V"	"minor"	112.01812116117728	"CFRule(diatonic_prep)"	2
"V"	"minor"	52.912773817935204	"CFRule(prolongation)"	2
"V"	"minor"	37.882369357356524	"CFRule(octa_dom_subs3)"	2
"V"	"minor"	29.861921938271703	"CFRule(octa_dom_subs6)"	2
"V"	"minor"	25.81845292985015	"CFRule(rule70)"	2
"V"	"minor"	25.166666666666668	"CFRule(rule74)"	2
"V"	"minor"	21.82141759733115	"CFRule(diatonic_subs)"	2
"V"	"minor"	13.027521561940286	"CFRule(octa_dom_subs9)"	2
"V"	"minor"	11.32921776105836	"CFRule(modulation)"	2
"V"	"minor"	7.135206682116104	"CFRule(rule71)"	2
"V"	"minor"	2.1830425068065447	"CFRule(rule69)"	2
"V"	"minor"	0.16666666666666666	"CFRule(rule73)"	2
"VI"	"major"	201.7773410862266	"CFRule(rule56)"	2
"VI"	"major"	63.435511728909475	"CFRule(prolongation)"	2
"VI"	"major"	37.22001875326182	"CFRule(rule57)"	2
"VI"	"major"	20.533011867243445	"CFRule(dominant_prep)"	2
"VI"	"major"	10.432727638377473	"CFRule(modulation)"	2
"VI"	"major"	4.468674415313101	"CFRule(diatonic_prep)"	2
"VI"	"minor"	3.0	"CFRule(diatonic_prep)"	2
"VI"	"minor"	2.210441355173147	"CFRule(prolongation)"	2
"VI"	"minor"	1.3333333333333333	"CFRule(rule77)"	2
"VI"	"minor"	1.209016524345947	"CFRule(modulation)"	2
"VI"	"minor"	0.9576847608089802	"CFRule(rule76)"	2
"VI"	"minor"	0.9179784518509023	"CFRule(dominant_prep)"	2
"VI"	"minor"	0.3333333333333333	"CFRule(rule75)"	2
"VII"	"major"	92.11757123586999	"CFRule(modulation)"	2
"VII"	"major"	67.09800324278824	"CFRule(rule58)"	2
"VII"	"major"	45.122434216333716	"CFRule(rule59)"	2
"VII"	"major"	23.236409828185167	"CFRule(prolongation)"	2
"VII"	"major"	13.870999382766898	"CFRule(diatonic_prep)"	2
"VII"	"major"	7.773009526427725	"CFRule(dominant_prep)"	2
"VII"	"minor"	89.31144989729437	"CFRule(rule79)"	2
"VII"	"minor"	81.34936643654156	"CFRule(diatonic_prep)"	2
"VII"	"minor"	51.54179976251229	"CFRule(rule81)"	2
"VII"	"minor"	23.688526834167988	"CFRule(modulation)"	2
"VII"	"minor"	16.836954785718852	"CFRule(dominant_prep)"	2
"VII"	"minor"	8.24885250424088	"CFRule(prolongation)"	2
"VII"	"minor"	7.368610115939787	"CFRule(rule78)"	2
"VII"	"minor"	3.25	"CFRule(rule80)"	2
"I"	"major"	83.40540686733944	"CFRule(rule43)"	3
"I"	"major"	77.35705450339398	"CFRule(rule42)"	3
