"components"	"count"	"rule"	"step"
"(II, \"major\")"	217.0	"CFRule(dominant_prep)"	0
"(II, \"major\")"	118.0	"CFRule(diatonic_prep)"	0
"(II, \"major\")"	109.0	"CFRule(prolongation)"	0
"(II, \"major\")"	38.5	"CFRule(m_termination)"	0
"(II, \"minor\")"	708.0	"CFRule(%7_termination)"	0
"(II, \"minor\")"	141.0	"CFRule(diatonic_subs)"	0
"(II, \"minor\")"	115.0	"CFRule(modulation)"	0
"(II, \"minor\")"	114.0	"CFRule(dominant_prep)"	0
"(II, \"minor\")"	103.0	"CFRule(diatonic_prep)"	0
"(II, \"minor\")"	76.0	"CFRule(prolongation)"	0
"(III, \"major\")"	156.5	"CFRule(m7_termination)"	0
"(III, \"major\")"	85.0	"CFRule(prolongation)"	0
"(III, \"major\")"	69.0	"CFRule(dominant_prep)"	0
"(III, \"major\")"	65.0	"CFRule(modulation)"	0
"(III, \"major\")"	18.5	"CFRule(m_termination)"	0
"(III, \"major\")"	8.0	"CFRule(diatonic_prep)"	0
"(III, \"minor\")"	1580.0	"CFRule(diatonic_prep)"	0
"(III, \"minor\")"	1515.3333333333333	"CFRule(^7_termination)"	0
"(III, \"minor\")"	1514.0	"CFRule(prolongation)"	0
"(III, \"minor\")"	701.0	"CFRule(modulation)"	0
"(III, \"minor\")"	622.0	"CFRule(dominant_prep)"	0
"(III, \"minor\")"	591.3333333333333	"CFRule(6_termination)"	0
"(III, \"minor\")"	163.33333333333331	"CFRule(^_termination)"	0
"(IV, \"major\")"	615.3333333333333	"CFRule(^7_termination)"	0
"(IV, \"major\")"	390.0	"CFRule(prolongation)"	0
"(IV, \"major\")"	375.0	"CFRule(dominant_prep)"	0
"(IV, \"major\")"	373.0	"CFRule(modulation)"	0
"(IV, \"major\")"	222.33333333333331	"CFRule(6_termination)"	0
"(IV, \"major\")"	74.33333333333333	"CFRule(^_termination)"	0
"(IV, \"minor\")"	1915.5	"CFRule(m7_termination)"	0
"(IV, \"minor\")"	887.0	"CFRule(dominant_prep)"	0
"(IV, \"minor\")"	605.0	"CFRule(modulation)"	0
"(IV, \"minor\")"	496.0	"CFRule(prolongation)"	0
"(IV, \"minor\")"	161.5	"CFRule(m_termination)"	0
"(V, \"major\")"	3088.2	"CFRule(7_termination)"	0
"(V, \"major\")"	1108.0	"CFRule(diatonic_prep)"	0
"(V, \"major\")"	1022.0	"CFRule(dominant_prep)"	0
"(V, \"major\")"	973.0	"CFRule(octa_dom_subs3)"	0
"(V, \"major\")"	886.0	"CFRule(octa_dom_subs6)"	0
"(V, \"major\")"	868.0	"CFRule(octa_dom_subs9)"	0
"(V, \"major\")"	704.0	"CFRule(prolongation)"	0
"(V, \"major\")"	629.0	"CFRule(diatonic_subs)"	0
"(V, \"major\")"	360.0	"CFRule(modulation)"	0
"(V, \"major\")"	289.2	"CFRule(m6_termination)"	0
"(V, \"major\")"	110.2	"CFRule(sus_termination)"	0
"(V, \"major\")"	34.2	"CFRule(^_termination)"	0
"(V, \"major\")"	2.2	"CFRule(+_termination)"	0
"(V, \"minor\")"	2007.1666666666667	"CFRule(7_termination)"	0
"(V, \"minor\")"	887.0	"CFRule(diatonic_prep)"	0
"(V, \"minor\")"	676.0	"CFRule(diatonic_subs)"	0
"(V, \"minor\")"	626.0	"CFRule(dominant_prep)"	0
"(V, \"minor\")"	493.0	"CFRule(octa_dom_subs6)"	0
"(V, \"minor\")"	450.0	"CFRule(octa_dom_subs3)"	0
"(V, \"minor\")"	450.0	"CFRule(octa_dom_subs9)"	0
"(V, \"minor\")"	353.0	"CFRule(prolongation)"	0
"(V, \"minor\")"	309.0	"CFRule(modulation)"	0
"(V, \"minor\")"	306.1666666666667	"CFRule(m7_termination)"	0
"(V, \"minor\")"	52.16666666666667	"CFRule(sus_termination)"	0
"(V, \"minor\")"	23.166666666666668	"CFRule(^_termination)"	0
"(V, \"minor\")"	23.166666666666668	"CFRule(m_termination)"	0
